date,state,latitude,longitude,state_area_km2,region,national_share_percentage,consumption_mega_units,thermal_actual_mega_units,thermal_estimated_mega_units,nuclear_actual_mega_units,nuclear_estimated_mega_units,hydro_actual_mega_units,hydro_estimated_mega_units,total_generation_actual_mega_units,total_generation_estimated_mega_units,power_supplier
2017-09-04,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1106.89,1115.43,25.17,3.81,72.0,37.38,1204.0600000000002,1156.6200000000001,NHPC Ltd
2017-09-04,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.23,568.34,30.36,35.62,273.27,297.47,927.86,901.4300000000001,NHPC Ltd
2017-09-04,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,16.85,0.0,0.0,24.64,24.1,53.75,40.95,Adani Green Energy Ltd
2017-09-05,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,449.92,459.09,0.0,0.0,85.94,70.29,535.86,529.38,Power Grid Corporation of India Ltd
2017-09-05,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1106.89,1131.78,25.17,3.83,72.0,28.78,1204.0600000000002,1164.3899999999999,Adani Green Energy Ltd
2017-09-05,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,16.64,0.0,0.0,24.64,22.86,53.75,39.5,Adani Green Energy Ltd
2017-09-05,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,576.35,575.06,62.73,53.16,111.57,58.0,750.6500000000001,686.2199999999999,JSW Energy
2017-09-05,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.58,597.08,30.36,35.72,273.27,290.23,932.21,923.0300000000001,Torrent Power
2017-09-06,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,16.44,0.0,0.0,24.64,27.8,53.75,44.24,Adani Green Energy Ltd
2017-09-06,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,576.35,549.1,62.73,53.41,111.57,58.7,750.6500000000001,661.21,Torrent Power
2017-09-06,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1124.57,1171.82,25.17,3.84,72.0,40.94,1221.74,1216.6,Power Grid Corporation of India Ltd
2017-09-06,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.58,628.93,30.36,35.86,273.27,296.1,932.21,960.89,Torrent Power
2017-09-06,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,449.92,464.82,0.0,0.0,85.94,76.43,535.86,541.25,Reliance Power
2017-09-07,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,20.71,0.0,0.0,24.64,24.12,53.75,44.83,JSW Energy
2017-09-07,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.48,651.03,30.36,35.86,273.27,298.57,932.11,985.46,Tata Power
2017-09-07,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1124.57,1180.3,25.17,3.82,72.0,48.25,1221.74,1232.37,Tata Power
2017-09-07,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,449.92,461.96,0.0,0.0,85.94,75.34,535.86,537.3,Power Grid Corporation of India Ltd
2017-09-07,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,585.98,565.52,62.73,53.41,111.57,55.52,760.28,674.4499999999999,NLC India Limited
2017-09-08,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1124.57,1189.75,25.17,3.83,72.0,35.86,1221.74,1229.4399999999998,Tata Power
2017-09-08,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.48,689.88,30.36,35.68,273.27,289.16,932.11,1014.72,NTPC Ltd
2017-09-08,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,590.63,549.88,62.73,53.65,111.57,66.92,764.9300000000001,670.4499999999999,Tata Power
2017-09-08,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,454.88,0.0,0.0,85.94,81.48,541.6,536.36,NTPC Ltd
2017-09-08,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,20.85,0.0,0.0,24.64,24.32,53.75,45.17,NTPC Ltd
2017-09-09,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,631.16,717.43,30.36,35.58,273.27,278.05,934.79,1031.06,Tata Power
2017-09-09,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,18.92,0.0,0.0,24.64,24.94,53.75,43.86,Torrent Power
2017-09-09,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,589.74,549.44,62.73,53.78,111.57,72.25,764.04,675.47,NTPC Ltd
2017-09-09,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1128.66,1204.61,25.17,3.87,72.0,38.57,1225.8300000000002,1247.0499999999997,Torrent Power
2017-09-09,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,455.25,0.0,0.0,85.94,80.46,541.6,535.71,Torrent Power
2017-09-10,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,23.01,0.0,0.0,24.64,26.7,53.75,49.71,NHPC Ltd
2017-09-10,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,589.74,548.38,62.73,54.52,111.57,51.99,764.04,654.89,NLC India Limited
2017-09-10,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,620.05,729.84,30.36,35.72,273.27,275.4,923.68,1040.96,NLC India Limited
2017-09-10,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,432.59,0.0,0.0,85.94,72.65,541.6,505.24,JSW Energy
2017-09-10,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1218.51,25.17,3.84,72.0,33.9,1228.73,1256.25,NTPC Ltd
2017-09-11,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,589.74,574.95,62.73,54.55,111.57,83.2,764.04,712.7,Reliance Power
2017-09-11,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,435.21,0.0,0.0,85.94,77.93,541.6,513.14,NHPC Ltd
2017-09-11,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,623.3,733.92,30.36,35.66,273.27,283.93,926.93,1053.51,Reliance Power
2017-09-11,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1203.65,25.17,3.82,72.0,54.72,1228.73,1262.19,NHPC Ltd
2017-09-11,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,23.32,0.0,0.0,24.64,22.78,53.75,46.1,JSW Energy
2017-09-12,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,623.3,739.87,30.36,34.56,273.27,271.18,926.93,1045.6100000000001,Tata Power
2017-09-12,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,440.93,0.0,0.0,85.94,71.55,541.6,512.48,NHPC Ltd
2017-09-12,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,25.41,0.0,0.0,24.64,24.12,53.75,49.53,NHPC Ltd
2017-09-12,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,589.74,585.91,62.73,54.68,111.57,89.81,764.04,730.3999999999999,Reliance Power
2017-09-12,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1194.99,25.17,3.81,72.0,74.08,1228.73,1272.8799999999999,NTPC Ltd
2017-09-13,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1196.4,25.17,3.89,72.0,61.8,1228.73,1262.0900000000001,NLC India Limited
2017-09-13,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,450.83,0.0,0.0,85.94,72.06,541.6,522.89,Adani Green Energy Ltd
2017-09-13,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,589.74,602.26,62.73,54.85,111.57,82.27,764.04,739.38,Power Grid Corporation of India Ltd
2017-09-13,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,27.89,0.0,0.0,24.64,25.06,53.75,52.95,Adani Green Energy Ltd
2017-09-13,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,753.8,30.36,30.69,273.27,263.43,931.71,1047.92,JSW Energy
2017-09-14,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,29.45,0.0,0.0,24.64,24.85,53.75,54.3,JSW Energy
2017-09-14,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,455.66,450.78,0.0,0.0,85.94,77.8,541.6,528.5799999999999,NLC India Limited
2017-09-14,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,720.86,30.36,30.71,273.27,257.44,931.71,1009.01,JSW Energy
2017-09-14,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,595.15,589.35,62.73,49.3,111.57,57.32,769.45,695.97,NTPC Ltd
2017-09-14,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1209.96,25.17,3.86,72.0,62.05,1228.73,1275.87,Tata Power
2017-09-15,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,28.63,0.0,0.0,24.64,20.8,53.75,49.43,Reliance Power
2017-09-15,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,484.74,438.75,0.0,0.0,85.94,83.76,570.6800000000001,522.51,NTPC Ltd
2017-09-15,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,703.6,30.36,30.66,273.27,260.56,931.71,994.8199999999999,Adani Green Energy Ltd
2017-09-15,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1243.93,25.17,3.84,72.0,41.27,1228.73,1289.04,Adani Power
2017-09-15,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,593.08,593.62,62.73,45.82,111.57,67.95,767.3800000000001,707.3900000000001,Adani Green Energy Ltd
2017-09-16,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1228.99,25.17,3.83,72.0,17.06,1228.73,1249.8799999999999,NHPC Ltd
2017-09-16,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,728.47,30.36,30.65,273.27,246.99,931.71,1006.11,SJVN Ltd
2017-09-16,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,29.85,0.0,0.0,24.64,19.61,53.75,49.46,NLC India Limited
2017-09-16,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,604.96,573.85,62.73,48.14,111.57,48.77,779.26,670.76,SJVN Ltd
2017-09-16,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,443.23,0.0,0.0,85.94,79.07,572.01,522.3,Adani Green Energy Ltd
2017-09-17,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,682.88,30.36,30.79,273.27,242.68,931.71,956.3499999999999,Torrent Power
2017-09-17,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,596.08,494.17,62.73,55.03,111.57,43.19,770.3800000000001,592.3900000000001,SJVN Ltd
2017-09-17,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,421.62,0.0,0.0,85.94,72.32,572.01,493.94,NLC India Limited
2017-09-17,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1164.03,25.17,3.87,72.0,12.37,1228.73,1180.2699999999998,Adani Power
2017-09-17,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,28.72,0.0,0.0,24.64,19.98,53.75,48.7,NTPC Ltd
2017-09-18,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1172.61,25.17,3.85,72.0,15.09,1228.73,1191.5499999999997,Tata Power
2017-09-18,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,701.28,30.36,28.65,273.27,244.07,931.71,974.0,Power Grid Corporation of India Ltd
2017-09-18,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,28.67,0.0,0.0,24.64,20.88,53.75,49.55,Torrent Power
2017-09-18,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,596.08,480.53,62.73,55.2,111.57,53.84,770.3800000000001,589.57,Reliance Power
2017-09-18,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,390.63,0.0,0.0,85.94,67.06,572.01,457.69,NHPC Ltd
2017-09-19,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1171.83,25.17,3.85,72.0,15.72,1228.73,1191.3999999999999,Torrent Power
2017-09-19,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,417.92,0.0,0.0,85.94,69.41,572.01,487.33000000000004,SJVN Ltd
2017-09-19,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,628.08,704.14,30.36,26.21,273.27,240.35,931.71,970.7,Power Grid Corporation of India Ltd
2017-09-19,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,30.77,0.0,0.0,24.64,20.24,53.75,51.01,Torrent Power
2017-09-19,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,596.08,472.32,62.73,55.17,111.57,58.74,770.3800000000001,586.23,JSW Energy
2017-09-20,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.13,719.08,30.36,26.15,273.27,238.72,927.76,983.95,Power Grid Corporation of India Ltd
2017-09-20,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,418.22,0.0,0.0,85.94,66.42,572.01,484.64000000000004,NHPC Ltd
2017-09-20,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1138.76,25.17,3.85,72.0,19.65,1228.73,1162.26,NTPC Ltd
2017-09-20,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,584.76,479.67,62.73,55.13,111.57,78.19,759.06,612.99,Power Grid Corporation of India Ltd
2017-09-20,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,30.31,0.0,0.0,24.64,21.97,53.75,52.28,Adani Green Energy Ltd
2017-09-21,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1131.56,1142.49,25.17,3.84,72.0,16.74,1228.73,1163.07,NLC India Limited
2017-09-21,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,438.6,0.0,0.0,85.94,76.02,572.01,514.62,Adani Green Energy Ltd
2017-09-21,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.13,710.69,30.36,26.18,273.27,239.27,927.76,976.14,SJVN Ltd
2017-09-21,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,596.96,524.5,62.73,55.23,111.57,95.32,771.26,675.05,Torrent Power
2017-09-21,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,27.53,0.0,0.0,24.64,22.08,53.75,49.61,Adani Green Energy Ltd
2017-09-22,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,270.69,191.91,0.0,0.0,0.0,0.0,270.69,191.91,Adani Green Energy Ltd
2017-09-22,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,12.34,12.38,0.0,0.0,0.0,0.0,12.34,12.38,NHPC Ltd
2017-09-22,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,419.55,409.17,0.0,0.0,44.54,3.8,464.09000000000003,412.97,JSW Energy
2017-09-22,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,222.44,209.74,0.0,0.0,68.81,62.09,291.25,271.83000000000004,Tata Power
2017-09-22,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,147.51,138.3,0.0,0.0,3.37,2.65,150.88,140.95000000000002,JSW Energy
2017-09-23,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1135.69,1146.57,25.17,3.83,72.0,21.41,1232.8600000000001,1171.81,NLC India Limited
2017-09-23,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.13,523.93,30.36,30.2,273.27,279.9,927.76,834.03,Adani Power
2017-09-23,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,436.38,0.0,0.0,85.94,73.2,572.01,509.58,NHPC Ltd
2017-09-23,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,28.05,0.0,0.0,24.64,21.42,53.75,49.47,NLC India Limited
2017-09-23,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,587.32,578.34,62.73,55.46,111.57,101.99,761.6200000000001,735.7900000000001,Reliance Power
2017-09-24,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.13,520.12,30.36,31.43,273.27,292.18,927.76,843.73,JSW Energy
2017-09-24,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,437.88,0.0,0.0,85.94,64.41,572.01,502.28999999999996,Adani Green Energy Ltd
2017-09-24,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,29.49,0.0,0.0,24.64,24.36,53.75,53.849999999999994,Adani Green Energy Ltd
2017-09-24,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,587.32,556.37,62.73,55.38,111.57,72.42,761.6200000000001,684.17,Adani Power
2017-09-24,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1168.59,25.17,3.83,72.0,16.95,1237.29,1189.37,Tata Power
2017-09-25,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,624.13,571.59,30.36,31.41,273.27,303.26,927.76,906.26,SJVN Ltd
2017-09-25,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,449.09,0.0,0.0,85.94,71.43,572.01,520.52,Tata Power
2017-09-25,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,29.55,0.0,0.0,24.64,22.31,53.75,51.86,NLC India Limited
2017-09-25,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1205.39,25.17,3.82,72.0,23.85,1237.29,1233.06,SJVN Ltd
2017-09-25,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,591.15,550.65,62.73,55.41,111.57,77.38,765.45,683.4399999999999,Power Grid Corporation of India Ltd
2017-09-26,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,30.02,0.0,0.0,24.64,21.85,53.75,51.870000000000005,Power Grid Corporation of India Ltd
2017-09-26,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,591.15,535.81,62.73,52.14,111.57,87.54,765.45,675.4899999999999,Power Grid Corporation of India Ltd
2017-09-26,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,626.73,646.01,30.36,31.99,273.27,261.67,930.36,939.6700000000001,Torrent Power
2017-09-26,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1237.06,25.17,3.84,72.0,28.24,1237.29,1269.1399999999999,NTPC Ltd
2017-09-26,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,453.26,0.0,0.0,85.94,72.9,572.01,526.16,NHPC Ltd
2017-09-27,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,591.15,543.71,62.73,42.16,111.57,79.2,765.45,665.07,Adani Power
2017-09-27,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1245.38,25.17,3.85,72.0,30.32,1237.29,1279.55,Adani Green Energy Ltd
2017-09-27,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,30.1,0.0,0.0,24.64,21.47,53.75,51.57,Tata Power
2017-09-27,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,445.78,0.0,0.0,85.94,73.83,572.01,519.61,NHPC Ltd
2017-09-27,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,626.73,661.69,30.36,35.54,273.27,254.28,930.36,951.51,Tata Power
2017-09-28,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,630.62,668.2,30.36,35.75,273.27,248.29,934.25,952.24,SJVN Ltd
2017-09-28,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,591.15,513.01,62.73,42.24,111.57,82.36,765.45,637.61,Reliance Power
2017-09-28,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,30.25,0.0,0.0,24.64,22.83,53.75,53.08,Adani Power
2017-09-28,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1241.16,25.17,3.83,72.0,26.39,1237.29,1271.38,Torrent Power
2017-09-28,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,431.07,0.0,0.0,85.94,70.97,572.01,502.03999999999996,SJVN Ltd
2017-09-29,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,29.71,0.0,0.0,24.64,25.09,53.75,54.8,SJVN Ltd
2017-09-29,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,601.66,485.78,62.73,40.27,111.57,83.47,775.96,609.52,Adani Green Energy Ltd
2017-09-29,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,630.62,649.48,30.36,35.81,273.27,240.09,934.25,925.38,Power Grid Corporation of India Ltd
2017-09-29,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,417.12,0.0,0.0,85.94,71.65,572.01,488.77,Adani Green Energy Ltd
2017-09-29,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1203.24,25.17,16.81,72.0,19.59,1237.29,1239.6399999999999,Reliance Power
2017-09-30,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,486.07,403.41,0.0,0.0,85.94,71.71,572.01,475.12,NTPC Ltd
2017-09-30,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1140.12,1134.4,25.17,16.82,72.0,18.41,1237.29,1169.63,Torrent Power
2017-09-30,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,601.66,475.84,62.73,40.47,111.57,69.71,775.96,586.02,Tata Power
2017-09-30,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,630.62,661.15,30.36,35.83,273.27,236.19,934.25,933.1700000000001,JSW Energy
2017-09-30,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.11,29.41,0.0,0.0,24.64,27.65,53.75,57.06,Tata Power
2017-10-01,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1155.3,1139.73,25.13,16.84,57.11,14.03,1237.54,1170.6,JSW Energy
2017-10-01,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,575.7,466.38,47.73,40.16,92.06,49.74,715.49,556.28,Adani Green Energy Ltd
2017-10-01,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.16,29.11,0.0,0.0,17.17,27.48,46.33,56.59,Torrent Power
2017-10-01,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,479.5,382.63,0.0,0.0,63.36,71.06,542.86,453.69,Adani Power
2017-10-01,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,621.75,650.52,25.8,36.17,157.46,222.85,805.01,909.54,NHPC Ltd
2017-10-03,Uttarakhand,30.32040895,78.05000565,53483.0,Northern,1.62,0.0,621.75,691.52,25.8,36.03,157.46,218.56,805.01,946.1099999999999,JSW Energy
2017-10-03,Maharashtra,19.25023195,73.16017493,307713.0,Western,9.36,0.0,1155.3,1215.31,25.13,16.83,57.11,39.96,1237.54,1272.1,SJVN Ltd
2017-10-03,West Bengal,22.58039044,88.32994665,88752.0,Eastern,2.7,0.0,479.5,396.4,0.0,0.0,63.36,76.3,542.86,472.7,NLC India Limited
2017-10-03,Tripura,23.83540428,91.27999914,10486.0,Northeastern,0.31,0.0,29.16,29.33,0.0,0.0,17.17,25.78,46.33,55.11,Adani Green Energy Ltd
2017-10-03,Telangana,18.1124,79.0193,112077.0,Southern,3.49,0.0,575.7,523.36,47.73,41.91,92.06,67.76,715.49,633.03,Tata Power
