Hostname,IPAddress,OS,AssetType,Owner,BusinessCriticality
linsrv0331,10.50.8.71,RHEL 9,Server,Team-D,High
linsrv0337,10.50.8.77,RHEL 9,Server,Team-D,High
linsrv0349,10.50.8.89,RHEL 9,Server,Team-D,High
linsrv0307,10.50.8.47,RHEL 9,Server,Team-D,High
linsrv0313,10.50.8.53,RHEL 9,Server,Team-D,High
lindb0056,10.60.10.22,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0090,10.60.10.56,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0093,10.60.10.59,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0100,10.60.10.66,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0067,10.60.10.33,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0054,10.60.10.20,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0096,10.60.10.62,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0062,10.60.10.28,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0047,10.60.10.13,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0044,10.60.10.9,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0091,10.60.10.57,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0052,10.60.10.18,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0060,10.60.10.26,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0074,10.60.10.40,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0072,10.60.10.38,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0085,10.60.10.51,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0087,10.60.10.53,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0040,10.60.10.5,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0049,10.60.10.15,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0080,10.60.10.46,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0079,10.60.10.45,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0075,10.60.10.41,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0058,10.60.10.24,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0064,10.60.10.30,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0098,10.60.10.64,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0046,10.60.10.12,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0043,10.60.10.8,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0066,10.60.10.32,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0099,10.60.10.65,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0084,10.60.10.50,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0092,10.60.10.58,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0063,10.60.10.29,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0041,10.60.10.6,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0073,10.60.10.39,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0078,10.60.10.44,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0053,10.60.10.19,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0059,10.60.10.25,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0071,10.60.10.37,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0077,10.60.10.43,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0094,10.60.10.60,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0097,10.60.10.63,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0069,10.60.10.35,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0070,10.60.10.36,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0045,10.60.10.11,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0081,10.60.10.47,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0082,10.60.10.48,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0042,10.60.10.7,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0048,10.60.10.14,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0061,10.60.10.27,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0055,10.60.10.21,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0083,10.60.10.49,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0086,10.60.10.52,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0057,10.60.10.23,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0068,10.60.10.34,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0089,10.60.10.55,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0051,10.60.10.17,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0065,10.60.10.31,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0088,10.60.10.54,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0050,10.60.10.16,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0076,10.60.10.42,Ubuntu 22.04 LTS,Server,Data-Science,Critical
lindb0095,10.60.10.61,Ubuntu 22.04 LTS,Server,Data-Science,Critical
linsrv0300,10.50.8.40,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0326,10.50.8.66,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0360,10.50.8.100,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0306,10.50.8.46,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0332,10.50.8.72,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0320,10.50.8.60,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0352,10.50.8.92,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0356,10.50.8.96,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0336,10.50.8.76,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0330,10.50.8.70,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0322,10.50.8.62,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0342,10.50.8.82,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0338,10.50.8.78,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0308,10.50.8.48,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0358,10.50.8.98,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0334,10.50.8.74,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0350,10.50.8.90,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0328,10.50.8.68,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0340,10.50.8.80,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0354,10.50.8.94,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0318,10.50.8.58,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0348,10.50.8.88,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0302,10.50.8.42,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0316,10.50.8.56,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0314,10.50.8.54,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0346,10.50.8.86,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0324,10.50.8.64,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0304,10.50.8.44,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0310,10.50.8.50,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0312,10.50.8.52,Ubuntu 22.04 LTS,Server,Team-D,High
linsrv0344,10.50.8.84,Ubuntu 22.04 LTS,Server,Team-D,High
winws0030,10.30.0.36,WINDOWS,Workstation,Team-A,High
winws0012,10.12.0.50,WINDOWS,Workstation,Team-C,High
winws0108,10.30.0.138,WINDOWS 10,Workstation,Team-A,Medium
winws0119,10.30.0.160,WINDOWS 10,Workstation,Team-A,Medium
winws0143,10.30.0.208,WINDOWS 10,Workstation,Team-A,Medium
winws0092,10.30.0.94,WINDOWS 10,Workstation,Team-A,Medium
winws0105,10.30.0.132,WINDOWS 10,Workstation,Team-A,Medium
winws0091,10.30.0.92,WINDOWS 10,Workstation,Team-A,Medium
winws0129,10.30.0.180,WINDOWS 10,Workstation,Team-A,Medium
winws0107,10.30.0.136,WINDOWS 10,Workstation,Team-A,Medium
winws0126,10.30.0.174,WINDOWS 10,Workstation,Team-A,Medium
winws0125,10.30.0.172,WINDOWS 10,Workstation,Team-A,Medium
winws0142,10.30.0.206,WINDOWS 10,Workstation,Team-A,Medium
winws0102,10.30.0.126,WINDOWS 10,Workstation,Team-A,Medium
winws0139,10.30.0.200,WINDOWS 10,Workstation,Team-A,Medium
winws0097,10.30.0.116,WINDOWS 10,Workstation,Team-A,Medium
winws0133,10.30.0.188,WINDOWS 10,Workstation,Team-A,Medium
winws0123,10.30.0.168,WINDOWS 10,Workstation,Team-A,Medium
winws0100,10.30.0.122,WINDOWS 10,Workstation,Team-A,Medium
winws0104,10.30.0.130,WINDOWS 10,Workstation,Team-A,Medium
winws0120,10.30.0.162,WINDOWS 10,Workstation,Team-A,Medium
winws0116,10.30.0.154,WINDOWS 10,Workstation,Team-A,Medium
winws0121,10.30.0.164,WINDOWS 10,Workstation,Team-A,Medium
winws0127,10.30.0.176,WINDOWS 10,Workstation,Team-A,Medium
winws0110,10.30.0.142,WINDOWS 10,Workstation,Team-A,Medium
winws0147,10.30.0.216,WINDOWS 10,Workstation,Team-A,Medium
winws0098,10.30.0.118,WINDOWS 10,Workstation,Team-A,Medium
winws0090,10.30.0.90,WINDOWS 10,Workstation,Team-A,Medium
winws0114,10.30.0.150,WINDOWS 10,Workstation,Team-A,Medium
winws0141,10.30.0.204,WINDOWS 10,Workstation,Team-A,Medium
winws0109,10.30.0.140,WINDOWS 10,Workstation,Team-A,Medium
winws0149,10.30.0.220,WINDOWS 10,Workstation,Team-A,Medium
winws0144,10.30.0.210,WINDOWS 10,Workstation,Team-A,Medium
winws0130,10.30.0.182,WINDOWS 10,Workstation,Team-A,Medium
winws0146,10.30.0.214,WINDOWS 10,Workstation,Team-A,Medium
winws0117,10.30.0.156,WINDOWS 10,Workstation,Team-A,Medium
winws0103,10.30.0.128,WINDOWS 10,Workstation,Team-A,Medium
winws0131,10.30.0.184,WINDOWS 10,Workstation,Team-A,Medium
winws0115,10.30.0.152,WINDOWS 10,Workstation,Team-A,Medium
winws0111,10.30.0.144,WINDOWS 10,Workstation,Team-A,Medium
winws0136,10.30.0.194,WINDOWS 10,Workstation,Team-A,Medium
winws0145,10.30.0.212,WINDOWS 10,Workstation,Team-A,Medium
winws0140,10.30.0.202,WINDOWS 10,Workstation,Team-A,Medium
winws0135,10.30.0.192,WINDOWS 10,Workstation,Team-A,Medium
winws0148,10.30.0.218,WINDOWS 10,Workstation,Team-A,Medium
winws0094,10.30.0.98,WINDOWS 10,Workstation,Team-A,Medium
winws0124,10.30.0.170,WINDOWS 10,Workstation,Team-A,Medium
winws0122,10.30.0.166,WINDOWS 10,Workstation,Team-A,Medium
winws0138,10.30.0.198,WINDOWS 10,Workstation,Team-A,Medium
winws0137,10.30.0.196,WINDOWS 10,Workstation,Team-A,Medium
winws0112,10.30.0.146,WINDOWS 10,Workstation,Team-A,Medium
winws0113,10.30.0.148,WINDOWS 10,Workstation,Team-A,Medium
winws0118,10.30.0.158,WINDOWS 10,Workstation,Team-A,Medium
winws0128,10.30.0.178,WINDOWS 10,Workstation,Team-A,Medium
winws0132,10.30.0.186,WINDOWS 10,Workstation,Team-A,Medium
winws0106,10.30.0.134,WINDOWS 10,Workstation,Team-A,Medium
winws0134,10.30.0.190,WINDOWS 10,Workstation,Team-A,Medium
winws0095,10.30.0.100,WINDOWS 10,Workstation,Team-A,Medium
winws0096,10.30.0.114,WINDOWS 10,Workstation,Team-A,Medium
winws0101,10.30.0.124,WINDOWS 10,Workstation,Team-A,Medium
winws0093,10.30.0.96,WINDOWS 10,Workstation,Team-A,Medium
winws0099,10.30.0.120,WINDOWS 10,Workstation,Team-A,Medium
winws0089,10.12.0.102,WINDOWS 10,Workstation,Team-C,Medium
winws0193,10.15.0.63,WINDOWS 11,Workstation,Finance-Systems,High
winws0179,10.15.0.49,WINDOWS 11,Workstation,Finance-Systems,High
winws0185,10.15.0.55,WINDOWS 11,Workstation,Finance-Systems,High
winws0150,10.15.0.20,WINDOWS 11,Workstation,Finance-Systems,High
winws0163,10.15.0.33,WINDOWS 11,Workstation,Finance-Systems,High
winws0209,10.15.0.79,WINDOWS 11,Workstation,Finance-Systems,High
winws0236,10.15.0.107,WINDOWS 11,Workstation,Finance-Systems,High
winws0250,10.15.0.121,WINDOWS 11,Workstation,Finance-Systems,High
winws0256,10.15.0.127,WINDOWS 11,Workstation,Finance-Systems,High
winws0197,10.15.0.67,WINDOWS 11,Workstation,Finance-Systems,High
winws0212,10.15.0.83,WINDOWS 11,Workstation,Finance-Systems,High
winws0246,10.15.0.117,WINDOWS 11,Workstation,Finance-Systems,High
winws0199,10.15.0.69,WINDOWS 11,Workstation,Finance-Systems,High
winws0228,10.15.0.99,WINDOWS 11,Workstation,Finance-Systems,High
winws0258,10.15.0.129,WINDOWS 11,Workstation,Finance-Systems,High
winws0268,10.15.0.139,WINDOWS 11,Workstation,Finance-Systems,High
winws0220,10.15.0.91,WINDOWS 11,Workstation,Finance-Systems,High
winws0232,10.15.0.103,WINDOWS 11,Workstation,Finance-Systems,High
winws0161,10.15.0.31,WINDOWS 11,Workstation,Finance-Systems,High
winws0177,10.15.0.47,WINDOWS 11,Workstation,Finance-Systems,High
winws0260,10.15.0.131,WINDOWS 11,Workstation,Finance-Systems,High
winws0203,10.15.0.73,WINDOWS 11,Workstation,Finance-Systems,High
winws0207,10.15.0.77,WINDOWS 11,Workstation,Finance-Systems,High
winws0234,10.15.0.105,WINDOWS 11,Workstation,Finance-Systems,High
winws0157,10.15.0.27,WINDOWS 11,Workstation,Finance-Systems,High
winws0183,10.15.0.53,WINDOWS 11,Workstation,Finance-Systems,High
winws0167,10.15.0.37,WINDOWS 11,Workstation,Finance-Systems,High
winws0171,10.15.0.41,WINDOWS 11,Workstation,Finance-Systems,High
winws0187,10.15.0.57,WINDOWS 11,Workstation,Finance-Systems,High
winws0242,10.15.0.113,WINDOWS 11,Workstation,Finance-Systems,High
winws0252,10.15.0.123,WINDOWS 11,Workstation,Finance-Systems,High
winws0230,10.15.0.101,WINDOWS 11,Workstation,Finance-Systems,High
winws0262,10.15.0.133,WINDOWS 11,Workstation,Finance-Systems,High
winws0238,10.15.0.109,WINDOWS 11,Workstation,Finance-Systems,High
winws0214,10.15.0.85,WINDOWS 11,Workstation,Finance-Systems,High
winws0210,10.15.0.81,WINDOWS 11,Workstation,Finance-Systems,High
winws0155,10.15.0.25,WINDOWS 11,Workstation,Finance-Systems,High
winws0240,10.15.0.111,WINDOWS 11,Workstation,Finance-Systems,High
winws0201,10.15.0.71,WINDOWS 11,Workstation,Finance-Systems,High
winws0216,10.15.0.87,WINDOWS 11,Workstation,Finance-Systems,High
winws0224,10.15.0.95,WINDOWS 11,Workstation,Finance-Systems,High
winws0226,10.15.0.97,WINDOWS 11,Workstation,Finance-Systems,High
winws0244,10.15.0.115,WINDOWS 11,Workstation,Finance-Systems,High
winws0266,10.15.0.137,WINDOWS 11,Workstation,Finance-Systems,High
winws0254,10.15.0.125,WINDOWS 11,Workstation,Finance-Systems,High
winws0175,10.15.0.45,WINDOWS 11,Workstation,Finance-Systems,High
winws0205,10.15.0.75,WINDOWS 11,Workstation,Finance-Systems,High
winws0151,10.15.0.21,WINDOWS 11,Workstation,Finance-Systems,High
winws0181,10.15.0.51,WINDOWS 11,Workstation,Finance-Systems,High
winws0153,10.15.0.23,WINDOWS 11,Workstation,Finance-Systems,High
winws0191,10.15.0.61,WINDOWS 11,Workstation,Finance-Systems,High
winws0222,10.15.0.93,WINDOWS 11,Workstation,Finance-Systems,High
winws0218,10.15.0.89,WINDOWS 11,Workstation,Finance-Systems,High
winws0159,10.15.0.29,WINDOWS 11,Workstation,Finance-Systems,High
winws0165,10.15.0.35,WINDOWS 11,Workstation,Finance-Systems,High
winws0173,10.15.0.43,WINDOWS 11,Workstation,Finance-Systems,High
winws0189,10.15.0.59,WINDOWS 11,Workstation,Finance-Systems,High
winws0264,10.15.0.135,WINDOWS 11,Workstation,Finance-Systems,High
winws0248,10.15.0.119,WINDOWS 11,Workstation,Finance-Systems,High
winws0169,10.15.0.39,WINDOWS 11,Workstation,Finance-Systems,High
winws0195,10.15.0.65,WINDOWS 11,Workstation,Finance-Systems,High
winws0219,10.15.0.90,WINDOWS 11,Workstation,HR-Platform,Medium
winws0229,10.15.0.100,WINDOWS 11,Workstation,HR-Platform,Medium
winws0265,10.15.0.136,WINDOWS 11,Workstation,HR-Platform,Medium
winws0217,10.15.0.88,WINDOWS 11,Workstation,HR-Platform,Medium
winws0259,10.15.0.130,WINDOWS 11,Workstation,HR-Platform,Medium
winws0164,10.15.0.34,WINDOWS 11,Workstation,HR-Platform,Medium
winws0180,10.15.0.50,WINDOWS 11,Workstation,HR-Platform,Medium
winws0227,10.15.0.98,WINDOWS 11,Workstation,HR-Platform,Medium
winws0247,10.15.0.118,WINDOWS 11,Workstation,HR-Platform,Medium
winws0156,10.15.0.26,WINDOWS 11,Workstation,HR-Platform,Medium
winws0221,10.15.0.92,WINDOWS 11,Workstation,HR-Platform,Medium
winws0225,10.15.0.96,WINDOWS 11,Workstation,HR-Platform,Medium
winws0243,10.15.0.114,WINDOWS 11,Workstation,HR-Platform,Medium
winws0170,10.15.0.40,WINDOWS 11,Workstation,HR-Platform,Medium
winws0206,10.15.0.76,WINDOWS 11,Workstation,HR-Platform,Medium
winws0231,10.15.0.102,WINDOWS 11,Workstation,HR-Platform,Medium
winws0255,10.15.0.126,WINDOWS 11,Workstation,HR-Platform,Medium
winws0188,10.15.0.58,WINDOWS 11,Workstation,HR-Platform,Medium
winws0202,10.15.0.72,WINDOWS 11,Workstation,HR-Platform,Medium
winws0192,10.15.0.62,WINDOWS 11,Workstation,HR-Platform,Medium
winws0269,10.15.0.140,WINDOWS 11,Workstation,HR-Platform,Medium
winws0172,10.15.0.42,WINDOWS 11,Workstation,HR-Platform,Medium
winws0194,10.15.0.64,WINDOWS 11,Workstation,HR-Platform,Medium
winws0182,10.15.0.52,WINDOWS 11,Workstation,HR-Platform,Medium
winws0174,10.15.0.44,WINDOWS 11,Workstation,HR-Platform,Medium
winws0154,10.15.0.24,WINDOWS 11,Workstation,HR-Platform,Medium
winws0245,10.15.0.116,WINDOWS 11,Workstation,HR-Platform,Medium
winws0257,10.15.0.128,WINDOWS 11,Workstation,HR-Platform,Medium
winws0152,10.15.0.22,WINDOWS 11,Workstation,HR-Platform,Medium
winws0200,10.15.0.70,WINDOWS 11,Workstation,HR-Platform,Medium
winws0237,10.15.0.108,WINDOWS 11,Workstation,HR-Platform,Medium
winws0249,10.15.0.120,WINDOWS 11,Workstation,HR-Platform,Medium
winws0166,10.15.0.36,WINDOWS 11,Workstation,HR-Platform,Medium
winws0211,10.15.0.82,WINDOWS 11,Workstation,HR-Platform,Medium
winws0168,10.15.0.38,WINDOWS 11,Workstation,HR-Platform,Medium
winws0204,10.15.0.74,WINDOWS 11,Workstation,HR-Platform,Medium
winws0160,10.15.0.30,WINDOWS 11,Workstation,HR-Platform,Medium
winws0178,10.15.0.48,WINDOWS 11,Workstation,HR-Platform,Medium
winws0223,10.15.0.94,WINDOWS 11,Workstation,HR-Platform,Medium
winws0251,10.15.0.122,WINDOWS 11,Workstation,HR-Platform,Medium
winws0209,10.15.0.80,WINDOWS 11,Workstation,HR-Platform,Medium
winws0186,10.15.0.56,WINDOWS 11,Workstation,HR-Platform,Medium
winws0261,10.15.0.132,WINDOWS 11,Workstation,HR-Platform,Medium
winws0263,10.15.0.134,WINDOWS 11,Workstation,HR-Platform,Medium
winws0190,10.15.0.60,WINDOWS 11,Workstation,HR-Platform,Medium
winws0196,10.15.0.66,WINDOWS 11,Workstation,HR-Platform,Medium
winws0253,10.15.0.124,WINDOWS 11,Workstation,HR-Platform,Medium
winws0213,10.15.0.84,WINDOWS 11,Workstation,HR-Platform,Medium
winws0235,10.15.0.106,WINDOWS 11,Workstation,HR-Platform,Medium
winws0158,10.15.0.28,WINDOWS 11,Workstation,HR-Platform,Medium
winws0267,10.15.0.138,WINDOWS 11,Workstation,HR-Platform,Medium
winws0162,10.15.0.32,WINDOWS 11,Workstation,HR-Platform,Medium
winws0233,10.15.0.104,WINDOWS 11,Workstation,HR-Platform,Medium
winws0239,10.15.0.110,WINDOWS 11,Workstation,HR-Platform,Medium
winws0241,10.15.0.112,WINDOWS 11,Workstation,HR-Platform,Medium
winws0184,10.15.0.54,WINDOWS 11,Workstation,HR-Platform,Medium
winws0215,10.15.0.86,WINDOWS 11,Workstation,HR-Platform,Medium
winws0176,10.15.0.46,WINDOWS 11,Workstation,HR-Platform,Medium
winws0208,10.15.0.78,WINDOWS 11,Workstation,HR-Platform,Medium
winws0198,10.15.0.68,WINDOWS 11,Workstation,HR-Platform,Medium
winws1091,10.30.0.189,WINDOWS 11,Workstation,Team-A,Medium
winws1063,10.30.0.133,WINDOWS 11,Workstation,Team-A,Medium
winws1064,10.30.0.135,WINDOWS 11,Workstation,Team-A,Medium
winws1100,10.30.0.207,WINDOWS 11,Workstation,Team-A,Medium
winws1052,10.30.0.99,WINDOWS 11,Workstation,Team-A,Medium
